title,description,type,tags,image,duration,uploaddate,warning,rating
The Soul of Flies,"A tale of two brothers who meet for the first time on the way to their father's funeral, who they never knew. A surreal journey where memory and dreams collide ensues. Spanish with English subtitles.",Show description or single item,"'Movies', 'Foreign Language', 'Comedy', 'Quirky', 'Irreverent', 'Cheeky'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/4nxsgPQOg8l7hCWm19N3Em/943f3acd26e048b8da243416f589d18b/TheSoulOfFlies_coverimg-min.png.943f3acd26e048b8da243416f589d18b.jpg?width=1600&height=457,No duration found,No upload date found,WARNING: Deals with the issue of self-harming.,No content rating found
Dede,A young woman living in a remote mountain village defies her family and centuries of tradition when she falls in love with the wrong man. Georgian and Svan with English subtitles.,Show description or single item,"'Drama', 'Foreign Language', 'Movies', 'Revealing', 'All the Feels'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/6NUhOZWbKqsUOQEZtA8GNT/e10d3e7d6c0c899f2be1c3fd1605ac69/FilmStream_Dede_coverimg.png.e10d3e7d6c0c899f2be1c3fd1605ac69.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
The Unauthorised Melrose Place Story,"Discover the drama that went on behind the cameras of the 1990s hit series, Melrose Place, from the arrival of Heather Locklear to the actors begging writers for even wilder storylines to make them fan favourites.",Show description or single item,"'Movies', 'Drama', 'Nostalgic', 'All the Feels'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/2QvbGPbkWHTgeYXiQlBdz1/99f9ab2d29cd0717e92eda77361687eb/Lifetime_TheUnauthorizedMelrosePlaceStory_coverimg.png.99f9ab2d29cd0717e92eda77361687eb.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Heaven,"In the first of V.C. Andrews' Casteel family series, the siblings are torn apart when their drunkard father sends them away one by one. Eldest daughter Heaven finds both torment and solace in her new home.",Show description or single item,"'Drama', 'Movies', 'All the Feels', 'Mysterious', 'Dark'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/7mm9dASBpuqmAXKJz6uwm/bc80576ace7555e67afb64967e369809/Lifetime_VCAndrewsHeaven_coverimg.png.bc80576ace7555e67afb64967e369809.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Smoke & Mirrors,The true story of a man who fooled an entire country. The spy Francisco Paesa returns to Spain after being exiled and is determined to get his revenge against the Spanish government which betrayed him. Spanish with English subtitles.,Show description or single item,"'Drama', 'Foreign Language', 'Movies', 'Thrilling', 'Mysterious'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/3KGVMtEG5vtt27IXFF9gSb/9235fa6c16676cb5daeffaa69f9d1956/Filmstream_SmokeandMirrors_coverimg.png.9235fa6c16676cb5daeffaa69f9d1956.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Circle of Deception,"A small, island community is turned upside down when a local businessman is found dead, leading to an investigation that twists and turns its way through neighbours, ex-wives, and best friends. Based on Ann Rule’s true crime book Practice to Deceive.",Show description or single item,"'Drama', 'Movies', 'Mysterious', 'Thrilling', 'Psychological'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/5cYfqW9XaonVAWwaStZQb1/07bbe091b2ebced0bf4f88ed4c68b045/AnnRulesCircleofDeception_coverimg.png.07bbe091b2ebced0bf4f88ed4c68b045.jpg?width=1600&height=457,No duration found,No upload date found,WARNING: Deals with the issue of suicide.,No content rating found
Stolen By My Mother: The Kamiyah Mobley Story,"Based on the true story, an 18-year-old girl from Florida discovers she was abducted as a baby and grew up believing her kidnappers were her family.",Show description or single item,"'Movies', 'Drama'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/7HZgIC1SOGTMZcj9kHQw98/4d1cb310b21b879b0b4d7a5dae2e1c14/Lifetime_StolenByMyMother_coverimg.png.4d1cb310b21b879b0b4d7a5dae2e1c14.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Escaping the Madhouse: The Nellie Bly Story,"Based on the true events, investigative reporter Nellie Bly (Christina Ricci) feigns mental illness in order to report from the inside of a notorious and ruthless Women's Asylum, run by Matron Grady (Judith Light).",Show description or single item,"'Drama', 'Movies', 'Dark', 'Gritty', 'Psychological'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/6sfYI9IngE6MxODYqvIrnV/d0bed159f9589fffbcb45100c55d0b1b/Lifetime_Escaping_The_Madhouse__The_Nellie_Bly_Story_coverimg.png.d0bed159f9589fffbcb45100c55d0b1b.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Harry And Meghan: Escaping The Palace,"Explore what really happened inside the palace that drove Harry and Meghan to leave the Royal family behind. From tumultuous family relationships to a growing sense of isolation, the young couple fight to prevent history from repeating itself.",Show description or single item,"'Movies', 'Drama', 'Revealing', 'All the Feels'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/2KLqbqZZ0oHuMWhVsI8PJO/88bae4b9db7f97b541132eda0bd9f542/Lifetime_Harry_and_Meghan_Escaping_The_Palace_coverimg.png.88bae4b9db7f97b541132eda0bd9f542.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
Mammuth,Gérard Depardieu stars in this comedy drama about a retiree who is forced to go on a road-trip through France on a motorcycle to retrieve the documents he needs to obtain his rightfully due pension. French with English subtitles.,Show description or single item,"'Comedy', 'Drama', 'Foreign Language', 'Movies', 'Irreverent', 'Quirky'",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/263pFzNNOvCokL7y0WvHfu/d9d86b5d2985235b2ba59592c7a4b537/Filmstream_Mammuth_coverimg.png.d9d86b5d2985235b2ba59592c7a4b537.jpg?width=1600&height=457,No duration found,No upload date found,No episode warnings found,No content rating found
